Input Iterations Time(ns)
3630 55505 419100
526 5799 16700
6538 105787 168400
240 2247 49100
1222 14781 34300
5233 82578 127800
4779 71830 113700
7888 129476 177600
505 5378 29500
5442 83546 111800
1182 15810 27400
8797 146424 166600
4592 68893 88400
509 5708 10700
9098 144159 156400
6417 95072 142200
7975 129760 159100
2685 35384 38700
3731 55985 54600
1416 17272 23200
4812 79776 84600
8438 133684 124600
7166 113757 123000
5367 88475 82000
9970 157673 160600
5234 84575 81000
1343 15963 22500
5136 81657 63700
7909 128829 120200
6687 105565 85200
2640 36618 32600
8762 146096 106500
7975 138994 146900
2034 27719 27600
6606 101027 86600
4980 76274 62200
5871 89709 72600
9643 152549 133300
9797 156386 122600
7101 113447 93600
9510 154179 121200
4789 76303 72700
6304 102094 80500
7717 126921 114900
4322 61214 54700
4186 58429 51900
5602 86746 85700
5282 89084 85300
1052 12548 16600
221 1962 3700
5621 83326 80900
1097 12913 16600
9002 144174 125900
1554 20384 23600
864 9831 13900
8299 145611 124000
1680 20974 24800
4772 72428 71700
6670 105067 108400
6036 94695 83900
3090 44145 50100
9361 148771 156400
7514 134660 131300
7422 121602 120900
2876 44307 49300
2200 28782 34800
3052 41596 57200
4603 69284 77100
1544 20330 23500
7486 114989 131700
320 3041 7000
7233 114599 110100
1209 15219 17000
1010 11207 16000
5464 78860 78200
7061 105821 84900
8245 128289 101500
1489 18384 18400
3145 46694 556400
9149 145717 107100
5929 96467 68800
1796 22436 21400
8394 133391 98700
5645 86250 70700
5527 83541 70300
8100 124497 701100
5709 88709 67900
9220 147122 114000
9347 147749 128400
1160 15730 19700
4702 74240 57500
604 6820 8600
3709 54425 43300
2101 30500 31400
5985 96399 71100
2822 38652 34800
2738 37074 31000
551 5730 7600
685 7769 8800
5199 80018 61500
